x,x,x,x,o,b,o,b,o,positive
x,x,x,o,x,b,o,b,o,positive
x,x,x,o,o,b,x,b,o,positive
x,x,x,o,o,b,o,x,b,positive
x,x,x,o,o,b,o,b,x,positive
x,o,o,x,x,o,o,x,x,positive
x,o,o,b,x,b,o,x,x,positive
x,o,b,x,o,b,x,b,b,positive
x,x,x,x,o,b,b,o,o,positive
x,o,o,x,x,x,o,x,o,positive
x,b,b,b,x,o,b,o,x,positive
x,o,b,x,x,o,b,o,x,positive
o,o,x,o,x,x,x,o,x,positive
o,o,b,x,b,o,x,x,x,positive
o,b,x,x,b,x,o,o,x,positive
o,b,x,b,o,x,x,o,x,positive
o,b,x,b,o,x,o,x,x,positive
o,x,o,b,o,b,x,x,x,positive
o,o,x,x,x,x,b,o,b,positive
o,o,b,b,x,o,x,x,x,positive
o,o,b,b,o,x,x,x,x,positive
b,x,o,x,x,x,b,o,o,positive
b,x,o,o,x,o,x,x,b,positive
b,o,x,o,b,x,o,x,x,positive
b,o,x,o,b,x,b,b,x,positive
b,o,o,x,x,x,o,x,b,positive
b,o,o,x,x,x,o,b,x,positive
b,b,x,o,o,x,x,o,x,positive
b,b,x,o,o,x,o,x,x,positive
b,o,b,b,b,o,x,x,x,positive
x,x,o,x,b,o,b,b,o,negative
x,x,b,x,b,b,o,o,o,negative
x,o,x,b,o,o,x,o,x,negative
x,o,b,b,o,x,b,o,x,negative
x,o,x,b,o,b,x,o,b,negative
x,x,b,o,o,o,o,x,x,negative
x,o,o,x,o,b,o,x,x,negative
x,o,b,o,o,x,x,o,x,negative
x,b,o,x,b,o,b,x,o,negative
o,o,o,b,b,x,x,b,x,negative
o,b,x,x,o,b,b,x,o,negative
o,x,x,o,x,x,o,o,b,negative
o,x,b,o,o,x,x,x,o,negative
o,o,o,o,x,x,x,x,b,negative
o,b,b,o,x,b,o,x,x,negative
b,o,b,b,o,x,x,o,x,negative
b,x,x,o,o,o,x,o,x,negative
b,o,x,x,o,b,b,o,x,negative
b,b,o,x,o,b,o,x,x,negative
b,b,o,x,b,o,x,x,o,negative
b,b,b,b,b,b,b,o,x,continue
x,o,x,o,x,x,o,x,o,draw
o,x,o,o,x,x,x,o,x,draw
